id,source_url,title,overview,outcome,status,platform,asset_urls,asset_text_extracts,created_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,https://twitter.com/afairweather/status/1314467188611469314?s=21,Attempt at satire features SA cartoonist,The original image depicts some of the 13 men implicated in a kidnap plot of the Governer of Michigan but the composite image included in this tweet has been edited to include a profile shot of the South African cartoonist Jeremy Nell (known as Jerm).,Jeremy Nell (Jerm) was clearly not involved in the kidnap plot. It would seem that the author/ creator of the tweet and the accompanying image intended for this to be an attempt at satire.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/6NVWYUIX__0.jpeg,Alistair Fairweather @afairweather Behold the long-awaited Master Race! These are the patriots who planned to kidnap the governor of Michigan but were SO stupid they got caught by the FBI. Bonus activity: spot the odd one out (hint,also part of the Master Race). 09:26 . 2020/10/09 . Twitter Web App |,2020-10-10 7:52:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,https://twitter.com/Maps_pj/status/1313739381312806912,Disinformation: Ethiopians,Somalis and Pakistans are allegedly killing South Africans,The tweet submitted for review claims that Ethiopians,Somalis and Pakistans are allegedly killing South Africans to maximize the market share of their Spazas and is posted under the hashtag #NoBackroomForForeigners.,This is disinformation as there is zero evidence that Ethiopians,Somalis and Pakistans are killing South Africans to maximize the market share of their Spazas shops. The author of the tweet cites/ manufactures hearsay news (using allegedly) in order to push an anti-foreigner/ xenophobic sentiment under the hashtag #NoBackroomForForeigners. The context,as well as the author's engagements with @Lerato_Pillay on Twitter could lead to the conclusion that it is disinformation of a similar nature. The tweet has been reported to Xenowatch.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/p1slkgzv__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/p1slkgzv__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/p1slkgzv__0.png,Put South Africans First> 0 @Maps_pj Ethiopians,Somalis and Pakistans are allegedly killing South Africans to maximize the market share of their Spazas D a STOP RENTING THEM BACKROOMS!! #NoBackroomForForeigners #NoBackroomForForeigners 9:14 AM - Oct 7,2020 - Twitter for Android 130 Retweets 2 Quote Tweets 244 Likes 6 t2 132 244 1 |,Put South Africans First> 0 @Maps_pj Ethiopians,Somalis and Pakistans are allegedly killing South Africans to maximize the market share of their Spazas D a STOP RENTING THEM BACKROOMS!! #NoBackroomForForeigners #NoBackroomForForeigners 9:14 AM - Oct 7,2020 - Twitter for Android 130 Retweets 2 Quote Tweets 244 Likes 6 t2 132 244 1 |,Put South Africans First> 0 @Maps_pj Ethiopians,Somalis and Pakistans are allegedly killing South Africans to maximize the market share of their Spazas D a STOP RENTING THEM BACKROOMS!! #NoBackroomForForeigners #NoBackroomForForeigners 9:14 AM - Oct 7,2020 - Twitter for Android 130 Retweets 2 Quote Tweets 244 Likes 6 t2 132 244 1 |,2020-10-12 8:09:15,,,,,,,,,,,,,,,,,,,,,,,,,
889,https://twitter.com/Khumbuz98119386/status/1308520358866300930,Tweet claiming that Nigerians are responsible for responsible for kidnapping in South Africa,This complaint pertains to a tweet in which the user makes the statement that Kidnapping is [sic] NIGERIAN thing. Nigerians brought it to South Africa.,This content falls well into misinformation jurisprudence and equally does not tick all of the criteria for hate speech. There is no evidence that Nigerians 'bought kidnapping to South Africa'. This is an unsubstantiated opinion.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/6HJ8V11A__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/6HJ8V11A__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/6HJ8V11A__0.png,Khumbuzile ooo @Khumbuz98119386 Kidnapping is NIGERIAN thing. Nigerians brought it to South Africa now. Our government is a sellout. #Sidikiwe #ForeignersMustGo #23rdSeptemberSACleanUP #PutSouthAfricaFirst 11:35 PM . Sep 22,2020 . Twitter for Android 33 Retweets 4 Quote Tweets 101 Likes |,Khumbuzile ooo @Khumbuz98119386 Kidnapping is NIGERIAN thing. Nigerians brought it to South Africa now. Our government is a sellout. #Sidikiwe #ForeignersMustGo #23rdSeptemberSACleanUP #PutSouthAfricaFirst 11:35 PM . Sep 22,2020 . Twitter for Android 33 Retweets 4 Quote Tweets 101 Likes |,Khumbuzile ooo @Khumbuz98119386 Kidnapping is NIGERIAN thing. Nigerians brought it to South Africa now. Our government is a sellout. #Sidikiwe #ForeignersMustGo #23rdSeptemberSACleanUP #PutSouthAfricaFirst 11:35 PM . Sep 22,2020 . Twitter for Android 33 Retweets 4 Quote Tweets 101 Likes |,2020-10-12 8:20:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,https://twitter.com/kemodidi/status/1305105913636958208,Tweet claiming to provide evidence of physical trauma sustained by a victim of attempted human trafficking by Nigerians,This complaint pertains to a tweet in which the user indicates that the photos of a woman's injured legs,as a result of attempted human trafficking,which accompany the tweet are evidence that Nigerians are traumatizing South Africans.,There is no source cited to support the claims made that the legs of the woman featured were involved in a potential human trafficking incident,or that the perpetrators involved were indeed Nigerian.  The narrative being associated with the images is misleading. The source of the narrative is a known misinformation distributor: https://za.opera.news/za/en/accident/a7021a74e13d48540d,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/dim4ten1__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/dim4ten1__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/dim4ten1__0.png,Mopedi_thwil oog @kemodidi Human trafficking is real,Nigerians are traumatizing us,this lady survived being dragged into a car last night.. one is too many ' Clean Sunnyside,hillbrow and restore borders #NigeriansMustGo 1:27 PM . Sep 13,2020 . Twitter for Android 2.9K Retweets 197 Quote Tweets 4.7K Likes 265 th 3.1K 4.7K |,Mopedi_thwil oog @kemodidi Human trafficking is real,Nigerians are traumatizing us,this lady survived being dragged into a car last night.. one is too many ' Clean Sunnyside,hillbrow and restore borders #NigeriansMustGo 1:27 PM . Sep 13,2020 . Twitter for Android 2.9K Retweets 197 Quote Tweets 4.7K Likes 265 th 3.1K 4.7K |,Mopedi_thwil oog @kemodidi Human trafficking is real,Nigerians are traumatizing us,this lady survived being dragged into a car last night.. one is too many ' Clean Sunnyside,hillbrow and restore borders #NigeriansMustGo 1:27 PM . Sep 13,2020 . Twitter for Android 2.9K Retweets 197 Quote Tweets 4.7K Likes 265 th 3.1K 4.7K |,2020-10-12 8:50:40,,,,,,,,,,,,,,,,,,,,
909,https://twitter.com/dirkdup69/status/1315878311931846656?s=21,Insinuation of genocide constitutes disinformation,Two tweets were submitted for review,the one containing hateful,racist language and the other (since deleted),insinuating that the South African government was involved in planning genocide of the boers by deploying the army to Senekal. This claim could not be verified in any news reports.,Language and imagery suggesting genocide of the boers is disinformation,and drives a divisive agenda that is likely to worsen public unrest. While the language contained in the primary tweet is hateful and racist,it fails to satisfy all legal criteria for hate speech as no incitement to cause harm is present.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/Q9G1JMA8__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/Q9G1JMA8__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/Q9G1JMA8__0.jpeg,Dr Dirk Donkerbal 0 37,5K Tweets Tweets Tweets & replies Media Likes Dr Dirk Donkerbal @dirkdup69 . 4h Goedere fok,die h/koppe het die army Senekal toe gestuur. Hulle is 'n bang klomp konte. Down the Rabbit H... .8h PLZ @CyrilRamaphosa tell the world why the #Army is surrounding #Senekal @realDonaldTrump @DRL_AS 0GenocideWatch1 Do u think the #CorruptANC won't use military force against its own citizens? 26 yrs #Boer slaughter! Enough is Enough! We r watching & waiting #PatriotsUnited Show this thread |,Dr Dirk Donkerbal 0 37,5K Tweets Tweets Tweets & replies Media Likes Dr Dirk Donkerbal @dirkdup69 . 4h Goedere fok,die h/koppe het die army Senekal toe gestuur. Hulle is 'n bang klomp konte. Down the Rabbit H... .8h PLZ @CyrilRamaphosa tell the world why the #Army is surrounding #Senekal @realDonaldTrump @DRL_AS 0GenocideWatch1 Do u think the #CorruptANC won't use military force against its own citizens? 26 yrs #Boer slaughter! Enough is Enough! We r watching & waiting #PatriotsUnited Show this thread |,2020-10-13 9:38:58,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,https://twitter.com/dossewabrandwag/status/1316011821086588933?s=21,Misguided tweet on IQ difference between races,The tweet claims that certain races are less intelligent.,This is a false claim made to further a racist agenda. While it is deplorable,and clearly misinformation,it does not meet the legal criteria of causing public harm. It is a misguided personal opinion that reveals its author to be a racist.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/AG96LOSS__0.jpeg,Die Ossewabrandwag 0 596 Tweets Tweets Tweets & replies Media Likes Roman Cabanac @RomanCaba. . 2h V What do you believe to be true that most people do not? 60 Lig 15 T Roman Cabanac @RomanCaba. 1h V I'll begin: there is no such thing as race. 14 21 T Die Ossewabrandwag @DOss... 5m V That race is not merely the colour of one's skin and that certain races are by nature less intelligent I which has huge consequences in a multiracial country (such as South Africa). 2 L T Willem Petzer @willempet 6h Ons het weer vandag 'n pragtige #StopPlaasMoorde optog,nou in Delmas. |,2020-10-13 13:54:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,https://twitter.com/EFFSouthAfrica/status/1316008919152484355,Tweet and associated video of Julius Malema claiming that,inter alia,violence,rape and murder were not present in South Africa but instead were brought to the country in 1652 by white people,This complaint pertains to a tweet and video in which EFF leader,Julius Malema,makes the claim that that violence came here on a ship in 1652 through a white man. Rape was brought by a white man,abuse was brought by a white man,murder was brought by a white man,killing of children was brought by a white man here in South Africa.,While the content is of a hyperbole nature the reasonable processing of the content results in an inaccurate information standard being met: the content alleges,even once hyperbole is discounted,that the arrival of white people to South Africa is the cause of the countries violent criminal conduct. This claim is not substantiated and is possibly false,inaccurate or misleading as it cannot be supported from the content alone.   Even though the tweet and video are inflammatory in nature,they do not meet the criteria for hate speech in the strictest sense as per this platform. Whilst there is an advocacy of hatred against another person on the basis of race,there is no incitement to cause harm. Whilst Malema calls for his followers to 'go fight white violence',in light of ongoing rhetoric it is not guaranteed to be a call to cause harm to white people.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/UYKV1PYK__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/UYKV1PYK__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/UYKV1PYK__0.png,Economic Freedom Fighters EFF @EFFSouthAfrica CIC @Julius_S_Malema reminds us that violence came here on a ship in 1652 through a white man. Rape was brought by a white man,abuse was brought by a white man,murder was brought by a white man,killing of children was brought by a white man here in South Africa. #HandsOffCIC ue EFF DHC 8.9K views 0:53 / 2:20 1 k 3:32 PM . Oct 13,2020 . Twitter for iPhone 271 Retweets 37 Quote Tweets 677 Likes |,Economic Freedom Fighters EFF @EFFSouthAfrica CIC @Julius_S_Malema reminds us that violence came here on a ship in 1652 through a white man. Rape was brought by a white man,abuse was brought by a white man,murder was brought by a white man,killing of children was brought by a white man here in South Africa. #HandsOffCIC ue EFF DHC 8.9K views 0:53 / 2:20 1 k 3:32 PM . Oct 13,2020 . Twitter for iPhone 271 Retweets 37 Quote Tweets 677 Likes |,Economic Freedom Fighters EFF @EFFSouthAfrica CIC @Julius_S_Malema reminds us that violence came here on a ship in 1652 throug,2020-10-13 18:37:09,,,,,,,,,,,,,
916,https://twitter.com/twatterbaas/status/1316058770108223489?s=21,Tweet: Twatterbaas: Senekal Case claim of Disinformation,The tweet claims that white people were chased out of the court by the accused for being white.,This amounts to mis/disinformation. With tensions what they are at the moment particularly in Senekal,the comments by the accused and the optics in this video are not helpful. While one can hear the accused making comments during the video,the claim that attendees in the courtroom were asked to leave as a result of the accused's demands and because they are white is misleading and inaccurate.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/DOCV4PQE__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/DOCV4PQE__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/DOCV4PQE__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/DOCV4PQE__1.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/DOCV4PQE__1.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/DOCV4PQE__1.jpeg,Conscious Caracal > @ConC.. 14h Replying to @twatterbaas twitter.com/ErnstRoets/sta.. Ernst Roets Q @ErnstRoe... . 19h Hierdie is fopnuus. Stel die artikel asseblief reg. AfriForum en die media is deur die aanklaer gevra om verteenwoordigers in die hof te laat en dat 'n aantal die hof verlaat we. 2 L2 10 I Natz and #ReleaseAndrePienaar 14h Netwerk24 het hulle twiet verwyder. L 6 T TIME TO cliff says #VoetsekANC @cliffo.. 4h V VOETSEK Replying to @twatterbaas and #ANC @Carl_CE50 Why is this not condemned ? I if a white person did this I he would be called a Racist ??? 1 LZ 3 I die stilto van die arwar met swalkheld nie Vleis Visagie @VleisV 2h Renlying to twatterbaas |,Conscious Caracal > @ConC.. 14h Replying to @twatterbaas twitter.com/ErnstRoets/sta.. Ernst Roets Q @ErnstRoe... . 19h Hierdie is fopnuus. Stel die artikel asseblief reg. AfriForum en die media is deur die aanklaer gevra om verteenwoordigers in die hof te laat en dat 'n aantal die hof verlaat we. 2 L2 10 I Natz and #ReleaseAndrePienaar 14h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,https://www.youtube.com/watch?v=vWFpJyrlmKk,Julius Malema's speech at Senekal - allegation of hate speech and incitement to violence,Julius Malema's speech was submitted for review by a complainant as the complainant felt that: (1) it amounted to hate speech; and (2) it constituted incitement to violence.,The words spoken do not meet the full legal criteria for hate speech because the overarching message was not one that constituted advocacy to hatred against another person nor did it constitute incitement to cause harm in terms of the legal criteria. The words also did not satisfy the legal test for incitement to violence,as it could not be reasonably expected that the natural and probable consequences of this speech under the circumstances would be the commission of public violence. ;However,it has been noted that At around 10:25 in the YouTube video,Julius Malema states that there is [sic] no farm murders in South Africa. There are no farmers who are being killed,and this message must reach that racist Trump. There are no white farmers being killed in South Africa. In South Africa,there are women being killed,in South Africa,there are children being killed... If one interprets this statement literally,it is capable of being proven incorrect,based on facts. It is clearly an exaggerated statement to illustrate that in Malema's opinion,the cause of violence against women and children is much more worthy of highlighting than that of violence against farmers - and also to discredit the untrue claim of white genocide. This hyperbolic,unnuanced way of expression to advance a political agenda could be seen as misinformation - or even disinformation. It is also not impossible that the speaker intended the statement to mislead - or did not care that some would be misled by it.,Resolved,Youtube,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/ek8zxerd__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/ek8zxerd__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/ek8zxerd__0.png,Up next FARM ATTACK SENEKAL STANDO The Guardian FARM ATTACKS SENEKAL STANDO >I >o . LIVE a [} EFF led by CIC @Julius_S_Malema in Senekal #EFFInSeneka IWO SUSPECT 1,286 watching now . Started streaming 46 minutes ago 279 104 SHARE =+ SAVE |,Up next FARM ATTACK SENEKAL STANDO The Guardian FARM ATTACKS SENEKAL STANDO >I >o . LIVE a [} EFF led by CIC @Julius_S_Malema in Senekal #EFFInSeneka IWO SUSPECT 1,286 watching now . Started streaming 46 minutes ago 279 104 SHARE =+ SAVE |,Up next FARM ATTACK SENEKAL STANDO The Guardian FARM ATTACKS SENEKAL STANDO >I >o . LIVE a [} EFF led by CIC @Julius_S_Malema in Senekal #EFFInSeneka IWO SUSPECT 1,286 watching now . Started streaming 46 minutes ago 279 104 SHARE =+ SAVE |,2020-10-16 15:03:01,,,,,,,,,,,,,,,,,,,,,
935,https://www.whitenationnetwork.com/archives/58085,Article on Whitenationnetwork.com: Conspiracy Theory,Disinformation and Hate Speech,Complaint of Disinformation on the basis that it makes false claims about the connections between a series of individuals and organisations and Hate Speech referral that the article seems to promote and support Verwoed as a hero and a fall guy .The article also targets Jewish people,as an 'evil Zionist force that killed a good man and implies that Jewish people are a threat to the country.,The article in question constitutes clear Disinformation and meets most of the grounds for Hate Speech. The platform on which it is published is itself is a site that is clearly aligned to a right wing/white supremacist agenda and should be taken down.,Resolved,Other Website,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/5d8396jc__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/5d8396jc__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/5d8396jc__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/5d8396jc__1.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/5d8396jc__1.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/5d8396jc__1.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/5d8396jc__2.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/5d8396jc__2.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/5d8396jc__2.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/5d8396jc__3.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/5d8396jc__3.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/5d8396jc__3.png,IN THE ARTICLE BELOW WE WILL TRY TO SHOW THE READER HOW THE NATIONAL PARTY OF SOUTH AFRICA IN REALITY WAS A SHADOW PSEUDO GOVERNMENT AND POLITICAL THIEVES/RACKETEERS FOR THE INTERNATIONAL CORPORATE ASSASSINS IN ORDER TO HAND OVER SOUTH AFRICA TO THE JEWS.THE ANC TODAY PICKED UP WHERE THE NP LEFT- AND THE RACKETEERING BLISSFULLY WENT ON THE INTERNATIONAL CORPORATE VULTURES STILL ARE IN CONTROL OF SOUTH-AFRICA'S MINERAL AND NATURAL RESOURCES. JUST NEW WATCHMENWER APPOINTED. THIS WE PLACED HERE ARE LITERALLY ONLY THE TIP OF THE ICE BERG-A MERE GLIMPSE- AS MUCH MORE DEVIOUS CONSPIRACIES WAS GOING ON BEHIND THE SCENES SUCH AS WHILE HE WHITE COLORED RSA AND UNITA FORCES OF JONAS SAVIMBI WERE FIGHTING THE ANC TERRORISTS AND THEIR COMMUNIST ALLIES- THE NATIONAL PARTY ALREADY WAS BUSY SELLING OUT THE COUNTRY YEARS AGO AND HAD CLANDESTINE MEETINGS WITH THEM IN LONDON LUSAKA AND ELSEWHERE TO GROOM THEM TO BECOME THE NEW GOVERNMENT. ALSO DID THE NATIONAL PARTY INTELLIGENCE UNDER NEIL VAN HEERDEN WORK ON MANY OCCASIONS,2020-10-18 4:15:49,,,,,,,,,,,,,,,,,,,,,,,,,,
938,https://twitter.com/chanell_sa/status/1318094615044673537?s=21,Tweet depicts attack from 2 years ago,The tweet depicts a victim who was beaten during a robbery. The tone of the language used insinuates that the crime was racially motivated.,This is misinformation. In this case,given the volatility around the issue of racism,posting content such as this heightens tensions. While it may have been done inadvertently (although with strong racist undertones in the language used),given the traction the tweet gained,it would have been advisable to delete it to stop further sharing.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/a8eregn5__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/a8eregn5__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/a8eregn5__0.jpeg,LJ Danie Barnard Retweeted Chanell van den Bergh @chane . 2h V Another attack today...on a school girl. Guess she was too white to not be hit multiple times by the attackers. I don't have words for these animals. 15 L155 66 T |,LJ Danie Barnard Retweeted Chanell van den Bergh @chane . 2h V Another attack today...on a school girl. Guess she was too white to not be hit multiple times by the attackers. I don't have words for these animals. 15 L155 66 T |,LJ Danie Barnard Retweeted Chanell van den Bergh @chane . 2h V Another attack today...on a school girl. Guess she was too white to not be hit multiple times by the attackers. I don't have words for these animals. 15 L155 66 T |,2020-10-19 10:13:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,https://twitter.com/romancabanac/status/1318909408194199555?s=21,Roman Cabanac Tweet: regarding a fictitious second wave of COvid19,Roman Cabanac claims,in response to Dr. Mkhize’s article on the increasing numbers of infections,that statements that a second wave of COVID 19 in SA would be fictitious.,Whilst the comment in question does not meet the criteria for Mis/Disinformation,it is a foolish and inaccurate statement. The minister's caution is well founded,the presence of second waves of COVID19 have been widely documented elsewhere in the world. The comment by Roman adds no value.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/0LK2ZRCZ__0.jpeg,Roman Cabanac @RomanCabanad Here comes the fictitious 2nd wave boys. I i Dr Zweli Mkhize Q @DrZweliMkhize 1h We are now encouraging all provinces to pay attention to these increasing numbers and quickly mount a response,including contact tracing and quarantine. Show this thread 15:38 . 2020/10/21 . Twitter for iPhone 12 Retweets 1 Quote Tweet 33 Likes 2 LZ C2 T sitting bull @sittinginbull . 9m Replying to @RomanCabanad i heard wave #5 is going to be the mother of all waves R |,2020-10-21 14:03:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,https://lockdownsceptics.org/covid-marie-celestes/,Article makes controversial claims about a second wave,and immunity,The article is written by Dr Mike Yeadon,who was the Vice President and Chief Science Officer for Pfizer for 16 years. It disputes a number of commonly-held beliefs about COVID-19,and the approach to managing the infection rates. It also questions the NHS' approach to managing cases other than COVID-19 cases.,Until there is conclusive scientific proof regarding these claims,it must be seen as misinformation.  This article may be presented as an opinion,albeit by someone with scientific medical expertise,but it contains opinions that have not yet been conclusively scientifically tested and verified. Accordingly,until such time as this is done,this information must be treated carefully. Admittedly,this platform does not have the scientific expertise to rule on the truth of the statements,but other credible fact-checking bodies have deemed the idea of the impossibility of the notion of a second wave as false. The nature and possibility of immunity is still in the process of being researched and there is no conclusive scientific guideline around this yet. https://www.poynter.org/?ifcn_misinformation=there-is-no-second-wave-of-covid-19-this-second-wave-is-really-just-the-normal-flu-common-cold-season-that-happens-every-year https://www.reuters.com/article/uk-factcheck-herd-immunity-positive-rate-idUSKCN25327U,Resolved,Other Website,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/qq6v72wb__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/qq6v72wb__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/qq6v72wb__0.jpeg,it's absurd. While there has recently need an increase in utilisation of ITU beds,I don't know about you,but to COVID-19: me it's completely unacceptable that someone's decided it's ok not to replace your heart valve and certain other elective surgeries. Why? To cope with an expected second wave. How. Reliable is Imperial College's Modelling? This is where and why I got stuck in. Viruses do not do waves. It's not possible to have a second wave of Code Review of Ferguson's Model infections and deaths in a country which has already been intensely infected in spring. This is because those infected and survived,which is 99.8% are then immune. When a pandemic was self-limiting,as it was in U.K. Second Analysis of Ferguson's Model and almost everywhere I've looked,it's now not possible for the population to enable and support a large,How. Replicable is the Imperial. College consolidated and growing epidemic. I knew that back in June and of course we're not experiencing a second Model? wave,but a Secondary,2020-10-22 20:23:11,,,,,,,,,,,,,,,,,,,,
950,https://twitter.com/mynameisjerm/status/1319580129597837312?s=20,Tweet alleging Location Tracking is coming to SA soon.,Complaint received that the tweeter undermines public health efforts by claiming that the SA government plans to track individual's movements through its Covid-19 app. He uses a screen grab from an alleged Australian SMS without context to insinuate that this will be part of the SA government's plan,although it has repeatedly been pointed out that the app does not collect personal information.,This tweet constitutes mis/disinformation and is irresponsible to share given how easy it is to determine online that the screen grab information shared is a hoax coupled with the fact that the tweeter has a following of over 18 000 on twitter.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/2SCMJ58W__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/2SCMJ58W__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/2SCMJ58W__0.png,Jerm @mynameisjerm-1 Coming soon. The COVIDsafe App has detected you are now +20km from your nominated home address. Please register your reason for travel by calling 1300 1MY GOV (+61 1300 169 468) within 15 minutes of receiving this SMS (10:12am AEST Monday 27 April 2020). Thank you. 10 t2 5 36 I - |,Jerm @mynameisjerm-1 Coming soon. The COVIDsafe App has detected you are now +20km from your nominated home address. Please register your reason for travel by calling 1300 1MY GOV (+61 1300 169 468) within 15 minutes of receiving this SMS (10:12am AEST Monday 27 April 2020). Thank you. 10 t2 5 36 I - |,Jerm @mynameisjerm-1 Coming soon. The COVIDsafe App has detected you are now +20km from your nominated home address. Please register your reason for travel by calling 1300 1MY GOV (+61 1300 169 468) within 15 minutes of receiving this SMS (10:12am AEST Monday 27 April 2020). Thank you. 10 t2 5 36 I - |,2020-10-23 11:21:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,https://m.facebook.com/photo.php?fbid=3823865520980489&id=100000712368488&set=a.1006625099371226&source=48,Facebook: James RIckman post re: Covid19 not being a deadly disease.,Complaint is that the post states that there is no deadly disease: Covid as all deaths are caused by previous diseases.,The information shared is disinformation as has been investigated and confirmed by https://www.poynter.org/?ifcn_misinformation=german-physician-klaus-puschel-declared-there-is-no-killer-virus. That site links to a longer analysis in Spanish,that basically says the Facebook post has been cobbled together from other comments,twisted and taken out of context. The Facebook profile itself may well be fake as well meaning that it has been established purely to spread dis and misinformation about Covid19.,Resolved,Facebook,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/8y90kh92__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/8y90kh92__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/8y90kh92__0.jpeg,NOBODY HAS DIED OF COVID-19 IN HAMBURG WITHOUT PREVIOUS ILLNESSES' FRIENDS of TRUTH There is NO killer virus. Klaus Puschel RENOWNED FORENSIC DOCTOR |,NOBODY HAS DIED OF COVID-19 IN HAMBURG WITHOUT PREVIOUS ILLNESSES' FRIENDS of TRUTH There is NO killer virus. Klaus Puschel RENOWNED FORENSIC DOCTOR |,NOBODY HAS DIED OF COVID-19 IN HAMBURG WITHOUT PREVIOUS ILLNESSES' FRIENDS of TRUTH There is NO killer virus. Klaus Puschel RENOWNED FORENSIC DOCTOR |,2020-10-23 20:15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
